,contextWindow,solutionWindow,trainMSE,testMSE
2130,220.0,310.0,0.00035352962798234527,0.00035695393433715335
2131,220.0,320.0,0.0003538160922394594,0.000354421927130195
2132,220.0,330.0,0.0003524072103428116,0.0003650336761094474
2133,220.0,340.0,0.00035200189059663963,0.0003613685952186521
2134,220.0,350.0,0.0003527217187668837,0.0003547222809426479
2135,220.0,360.0,0.0003529061836050517,0.0003485733546886854
2136,220.0,370.0,0.00035091986401727514,0.0003666523196205302
2137,220.0,380.0,0.0003514697278396577,0.0003594975080889419
2138,220.0,390.0,0.00035254160961398277,0.00034827255916189035
2139,220.0,400.0,0.00035123463034480095,0.0003593630243573006
2140,220.0,410.0,0.0003508431237079397,0.00035696000631690183
2141,220.0,420.0,0.0003496650979623214,0.00036556072738014073
2142,220.0,430.0,0.0003508393453316627,0.00035502726081424683
2143,220.0,440.0,0.0003499728070419529,0.00036124472111895674
2144,220.0,450.0,0.00035082535834323006,0.0003564586572032083
2145,220.0,460.0,0.00035106406120732084,0.0003432087357416699
2146,220.0,470.0,0.0003507027458133325,0.00034459039037927684
2147,220.0,480.0,0.0003492372014280465,0.00035542509317116846
2148,220.0,490.0,0.0003501031145637236,0.0003464764130620237
2149,220.0,500.0,0.00034947830014757836,0.000348189628415013
2150,220.0,510.0,0.00035026064730101457,0.00034168900784527467
2151,220.0,520.0,0.0003483195426400748,0.0003575467527131498
2152,220.0,530.0,0.00034878474334758605,0.00035183222706370275
2153,220.0,540.0,0.0003481724440794337,0.0003558883616377901
2154,220.0,550.0,0.0003490096053981709,0.0003476117899787102
2155,220.0,560.0,0.0003481941107587136,0.0003537906810219912
2156,220.0,570.0,0.000347621728823565,0.0003573301290205651
2157,220.0,580.0,0.00034820801642618157,0.0003521399902067259
2158,220.0,590.0,0.0003491078651128757,0.0003435285586852583
2159,220.0,600.0,0.0003491822346380979,0.0003411112340659536
2160,220.0,610.0,0.00034778951027439835,0.0003537837924513606
2161,220.0,620.0,0.0003489255852501797,0.00034317045296613016
2162,220.0,630.0,0.0003480382375518805,0.00034982997632953833
2163,220.0,640.0,0.0003480117520008535,0.0003498360291287944
2164,220.0,650.0,0.00034905434224581265,0.00033969579795958474
2165,220.0,660.0,0.00034806820139209917,0.0003490056958837521
2166,220.0,670.0,0.00034871933451406434,0.0003486253609175585
2167,220.0,680.0,0.00034831322922000484,0.00034442777087105537
2168,220.0,690.0,0.0003481656212347651,0.00034404861074715875
2169,220.0,700.0,0.0003467297468977268,0.0003571839729324133
2170,220.0,710.0,0.0003487029908167333,0.00033817874670444037
2171,220.0,720.0,0.00034719991655496297,0.00034816151045260487
2172,220.0,730.0,0.0003477484553660557,0.00034070079556594444
2173,220.0,740.0,0.000348001536739048,0.0003369527811826428
2174,220.0,750.0,0.00034755218767995463,0.00033908433112139346
2175,220.0,760.0,0.0003462157094862557,0.00034910722894656643
2176,220.0,770.0,0.00034525397573111294,0.0003553137199845267
2177,220.0,780.0,0.0003469503857804691,0.0003384112066554486
2178,220.0,790.0,0.00034597645653704575,0.000343904578429329
2179,220.0,800.0,0.0003470060029294232,0.0003355086131985334
2180,220.0,810.0,0.00034640628037673415,0.0003367280402769532
2181,220.0,820.0,0.0003439514579844839,0.0003546953589299061
2182,220.0,830.0,0.00034551857273602604,0.0003383692669335673
2183,220.0,840.0,0.00034323728534992,0.0003545390997499008
2184,220.0,850.0,0.0003444688448983575,0.00033906445566977614
2185,220.0,860.0,0.00034445291966364214,0.00033383841052650454
2186,220.0,870.0,0.0003441021313950231,0.00033158483618077865
2187,220.0,880.0,0.0003424404342415048,0.000342246940049825
2188,220.0,890.0,0.0003422199235324296,0.0003399152367016502
2189,220.0,900.0,0.0003415694546339835,0.0003358665453071695
2190,220.0,910.0,0.0003407757750399812,0.00033659798881895093
2191,220.0,920.0,0.0003396575605381065,0.0003410616617411214
2192,220.0,930.0,0.0003399146081376526,0.0003317828871655789
2193,220.0,940.0,0.0003385010002317298,0.00033847269925072794
2194,220.0,950.0,0.00033698864061668994,0.00034634440700097145
2195,220.0,960.0,0.0003364871920821171,0.0003437820135908553
2196,220.0,970.0,0.00033593657761093104,0.0003429204007165736
2197,220.0,980.0,0.00033671357269072453,0.00032899797242342665
2198,220.0,990.0,0.0003348580410184126,0.0003384182736098857
2199,220.0,1000.0,0.00033473886668742095,0.00033265916411972016
2200,230.0,10.0,0.0003134723134413476,0.00031927846326546645
2201,230.0,20.0,0.00035322109563615223,0.0003133058160641191
2202,230.0,30.0,0.0003529895371623528,0.0003481926057917796
2203,230.0,40.0,0.00035162373475922353,0.00037800640007764117
2204,230.0,50.0,0.0003543376846744792,0.0003418958371645433
2205,230.0,60.0,0.0003558795192486588,0.000352354589308273
2206,230.0,70.0,0.00035926695722406115,0.0003249272149346509
2207,230.0,80.0,0.00035516013652193794,0.0003750466613778872
2208,230.0,90.0,0.00035912426178533256,0.0003332950116482298
2209,230.0,100.0,0.00035672011863655277,0.00036022805121748797
2210,230.0,110.0,0.00035640622556256887,0.00036100098416643183
2211,230.0,120.0,0.0003542636317045413,0.00038007815756821764
2212,230.0,130.0,0.00035633660982094007,0.00036414582201762694
2213,230.0,140.0,0.00035763821675071234,0.00035562277486299483
2214,230.0,150.0,0.00035788939358208165,0.00035106203153647663
2215,230.0,160.0,0.00035496456320507447,0.00037494539992846226
2216,230.0,170.0,0.0003574565948043021,0.00035128907613582634
2217,230.0,180.0,0.0003576170693539797,0.00034547369455871583
2218,230.0,190.0,0.000355505129523351,0.00035789129605696355
2219,230.0,200.0,0.00035357661957710786,0.0003790411903554659
2220,230.0,210.0,0.0003536450281080816,0.0003724930464240655
2221,230.0,220.0,0.00035730644106747085,0.00034979275504326974
2222,230.0,230.0,0.0003558314324771272,0.0003474560837161189
2223,230.0,240.0,0.0003546415296704121,0.0003568365105970482
2224,230.0,250.0,0.00035453652749558277,0.0003564570702811659
2225,230.0,260.0,0.00035301985486304037,0.0003705886619808366
2226,230.0,270.0,0.00035672049392456335,0.0003330749705488103
2227,230.0,280.0,0.00035518544503189723,0.00034349966805826386
2228,230.0,290.0,0.0003539494777813737,0.00035534844418545454
2229,230.0,300.0,0.00035357622338660097,0.0003553909172480393
2230,230.0,310.0,0.00035207697881686957,0.00036735951788856454
2231,230.0,320.0,0.0003529959283853493,0.0003552295952674044
2232,230.0,330.0,0.0003532485492954375,0.0003516777280163644
2233,230.0,340.0,0.0003537626158240289,0.0003464270554826242
2234,230.0,350.0,0.0003523597238551708,0.0003566340532711589
2235,230.0,360.0,0.00035116899287187744,0.00036323512790277854
2236,230.0,370.0,0.0003524476713593382,0.00035221812108486474
2237,230.0,380.0,0.0003516593191365703,0.00035512357299209094
2238,230.0,390.0,0.0003529502697259547,0.00034197760955049714
2239,230.0,400.0,0.0003534332398823785,0.0003359981840060678
2240,230.0,410.0,0.00035239201770814255,0.00034360136746839314
2241,230.0,420.0,0.0003521079628302308,0.0003427601208160438
2242,230.0,430.0,0.00035018798700067787,0.00036074482276796555
2243,230.0,440.0,0.00035039054025892143,0.0003601704216152808
2244,230.0,450.0,0.00035091242877988653,0.00034589609217477345
2245,230.0,460.0,0.00035098152127590335,0.00034404665202772514
2246,230.0,470.0,0.0003498994844221335,0.0003511941075373575
2247,230.0,480.0,0.00034989158200725415,0.0003483693120696251
2248,230.0,490.0,0.00035012940269852277,0.00034316658457727466
2249,230.0,500.0,0.0003497443529981724,0.0003456372954953566
2250,230.0,510.0,0.0003485985627272002,0.00035579173993424576
2251,230.0,520.0,0.0003486471245927076,0.0003543133804657851
2252,230.0,530.0,0.00034931115808734534,0.00034651978978832116
2253,230.0,540.0,0.0003486076209702752,0.00035199725988007584
2254,230.0,550.0,0.0003479053454407272,0.0003571067071089038
2255,230.0,560.0,0.0003483685289316219,0.00035023573550092125
2256,230.0,570.0,0.0003482301394413205,0.0003526144082530794
2257,230.0,580.0,0.00034799224181108823,0.00035362809869770375
2258,230.0,590.0,0.00034714653798040057,0.0003624288686467284
2259,230.0,600.0,0.00034920603404853305,0.00034156870402596165
2260,230.0,610.0,0.00034646609686573687,0.00036653362023143473
2261,230.0,620.0,0.0003489940112583983,0.00034206320328215964
2262,230.0,630.0,0.00034701510022399224,0.00035842373464269365
2263,230.0,640.0,0.00034888638442129316,0.0003433656139786059
2264,230.0,650.0,0.0003495800059783547,0.0003369686966914228
2265,230.0,660.0,0.0003483091015128976,0.00034860386026793047
2266,230.0,670.0,0.00034764753530147944,0.0003495045017858077
2267,230.0,680.0,0.00034659313463661736,0.0003579018934560048
2268,230.0,690.0,0.0003474737596455177,0.0003509269423665449
2269,230.0,700.0,0.0003472256250302484,0.00035008825748565473
2270,230.0,710.0,0.0003468315349765835,0.0003504458278711022
2271,230.0,720.0,0.0003458836036507176,0.00035687086368910793
2272,230.0,730.0,0.00034633547734371834,0.00035117736786347947
2273,230.0,740.0,0.0003461859060038615,0.00035081272295514355
2274,230.0,750.0,0.00034687838455575975,0.00034227897686950825
2275,230.0,760.0,0.0003459544704500036,0.0003491865380265438
2276,230.0,770.0,0.00034646525728445536,0.00034080371653602077
2277,230.0,780.0,0.00034581093077204516,0.00034531192975193023
2278,230.0,790.0,0.00034518910811797186,0.0003483628176489156
2279,230.0,800.0,0.00034600853108951045,0.00033839723357992146
2280,230.0,810.0,0.00034429857200126573,0.00035127243236763455
2281,230.0,820.0,0.0003443193074321251,0.0003478762821329197
2282,230.0,830.0,0.0003425180281657697,0.0003599176320404149
2283,230.0,840.0,0.00034393399077944166,0.0003435802797421106
2284,230.0,850.0,0.0003427606387264305,0.0003471019709698225
2285,230.0,860.0,0.00034141530887048753,0.00035507744558361176
2286,230.0,870.0,0.0003420378715146652,0.00034568867634313723
2287,230.0,880.0,0.0003416686204602125,0.0003437701029149977
2288,230.0,890.0,0.00034030081613529355,0.0003452902713654321
2289,230.0,900.0,0.00033920500451440895,0.0003488962896406605
2290,230.0,910.0,0.0003391613846020584,0.000343750646583447
2291,230.0,920.0,0.0003394195935968129,0.00033540812381556054
2292,230.0,930.0,0.0003382728336347498,0.00033840831188911295
2293,230.0,940.0,0.0003367972902717993,0.00034634193876161137
2294,230.0,950.0,0.00033775673642686923,0.0003319147367022831
2295,230.0,960.0,0.0003342233243791761,0.00035711993203583277
2296,230.0,970.0,0.0003356583166710412,0.0003381295360359619
2297,230.0,980.0,0.00033579686230120713,0.0003309269705515515
2298,230.0,990.0,0.00033499807712673396,0.00032966049715254896
2299,230.0,1000.0,0.0003343079709042186,0.00032961175977630567
2300,240.0,10.0,0.00031058785559611265,0.00030551459789207857
2301,240.0,20.0,0.00033647584026588924,0.00034952172267581377
2302,240.0,30.0,0.0003469257781811718,0.00036371175484110565
2303,240.0,40.0,0.00035581797484126514,0.0003459488928494482
2304,240.0,50.0,0.0003518456425301502,0.0003744723781253354
2305,240.0,60.0,0.00035510654404864137,0.00034612211431900796
2306,240.0,70.0,0.00035331033972177016,0.00037796813608825016
2307,240.0,80.0,0.0003567463721908245,0.00035139934877811995
2308,240.0,90.0,0.0003557817432150763,0.0003676671843108543
2309,240.0,100.0,0.00035391892143745563,0.00037430827625826264
2310,240.0,110.0,0.00035523434673911133,0.0003661359710549313
2311,240.0,120.0,0.0003563816030633137,0.00036021220663468023
2312,240.0,130.0,0.0003547405485810929,0.0003763348689835997
2313,240.0,140.0,0.00035401418195384727,0.0003793221401278056
2314,240.0,150.0,0.0003549151371706926,0.000374454897665578
2315,240.0,160.0,0.0003571728900591179,0.0003468278072030418
2316,240.0,170.0,0.0003545773473979954,0.00036421793911218354
2317,240.0,180.0,0.0003548683538426019,0.0003642934516829133
2318,240.0,190.0,0.00035435435555182483,0.00036817358513869115
2319,240.0,200.0,0.0003550277630227368,0.00036391765056269514
2320,240.0,210.0,0.00035589738737623665,0.0003674285259804207
2321,240.0,220.0,0.00035277510914210925,0.00037145402795693913
2322,240.0,230.0,0.0003532713292128272,0.0003684280089398177
2323,240.0,240.0,0.00035261270677595436,0.0003705638805650429
2324,240.0,250.0,0.000355511828146272,0.0003445446264610411
2325,240.0,260.0,0.00035194084232615953,0.00037140743197701035
2326,240.0,270.0,0.0003530171367900798,0.0003614573541521734
2327,240.0,280.0,0.00035296283460452065,0.00036243190824632166
2328,240.0,290.0,0.00035238696977402166,0.00036453379470092394
2329,240.0,300.0,0.0003528045301385378,0.0003579350422819308
2330,240.0,310.0,0.00035177677064501974,0.0003666840697266081
2331,240.0,320.0,0.0003532083971947374,0.0003521949327094545
2332,240.0,330.0,0.0003527235147628456,0.00035508372201149526
2333,240.0,340.0,0.00035363769890412903,0.0003445198540434731
2334,240.0,350.0,0.00035442649143919454,0.00033522686719010905
2335,240.0,360.0,0.00035136375013345664,0.00035958602010094723
2336,240.0,370.0,0.00035219340653545595,0.00034928953399075756
2337,240.0,380.0,0.0003507364744497963,0.0003625490026259575
2338,240.0,390.0,0.0003520848958700439,0.0003478236097636454
2339,240.0,400.0,0.0003525403277533723,0.0003402583606967307
